"Taxa"	"pValue"	"R2"	"direction"	"Adj_pValue"
"d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.__"	1.95735737875699e-05	0.646112485750533	"Recipient"	0.000150064065704703
"d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Olsenella.__"	7.74612446491382e-11	0.909672387785042	"Recipient"	1.78160862693018e-09
"d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.__.__"	0.618719137979664	0.0140468513876361	"Donor"	0.646842735160558
"d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Enterorhabdus.__"	0.0890762761526812	0.152163390333248	"Donor"	0.119167891117819
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.__"	0.0430561792014719	0.208378569834787	"Donor"	0.0660194747755903
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.__"	0.0273225846504263	0.242708265923605	"Donor"	0.0523682872466504
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.__"	0.0272024806003639	0.243036645829776	"Donor"	0.0523682872466504
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides.__"	0.033897474775498	0.226534321482861	"Donor"	0.0599724553720349
"d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae.g__Helicobacter.__"	0.0263758038570242	0.2453346051458	"Donor"	0.0523682872466504
"d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio.__"	0.0269798885596001	0.243648864681512	"Donor"	0.0523682872466504
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.__.__"	0.0932618278313366	0.14858280541122	"Donor"	0.119167891117819
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.__.__"	0.000284584586315148	0.528053703303199	"Donor"	0.00161944785461684
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Erysipelothrix.__"	0.0069736581864248	0.339928312493764	"Donor"	0.0200492672859713
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.__"	0.000651971752658691	0.484579311445716	"Recipient"	0.00249922505185832
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.__"	0.0383214391640552	0.217248864230365	"Donor"	0.0629566500552336
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Anaerofustaceae.g__Anaerofustis.__"	0.65983924005177	0.0110038638189023	"Donor"	0.65983924005177
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.__.__"	0.000352053881438443	0.517230780502976	"Recipient"	0.00161944785461684
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.__.__"	8.46638756426343e-07	0.748581193909155	"Donor"	9.73634569890294e-06
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__Family_XIII_AD3011_group.__"	0.3063090901816	0.05801742947766	"Donor"	0.35225545370884
"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Enterobacter.__"	0.00222623495799752	0.413489305020863	"Recipient"	0.00731477200484901
"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Rodentibacter.__"	0.167404393476896	0.10312947628649	"Recipient"	0.202647423682558
"d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales.f__Chlamydiaceae.g__Chlamydia.__"	0.571100535439297	0.0181588155557265	"Recipient"	0.625491062623992
"Other"	0.0853365670175829	0.155506671564474	"Donor"	0.119167891117819
